Test One,,,malformed layer,,,,
,,,,,,,
April-01-19,6:04:40 PM,,,,,,
,,,,,,,
(e.g.) Strength test for 0.5 inch diameter specimen without anealling.,,,,,,,
,,,,,,,
01/04/2019,6:04:40 PM,,,,,,
Deflection (in),Force (lbf),Strain0,Strain1,Strain2,Strain3,Strain4,Strain5
0.002222,-0.077906,-0.815674,8.766777,-0.009503,0.00023,-0.003663,0.009638
0.008888,-0.077906,-0.816323,8.766453,-0.009179,0.000554,-0.003988,0.009638
0.017776,0.986809,-0.815998,8.766128,-0.009503,0.00023,-0.004961,0.009313
0.028886,8.258037,-0.815998,8.766777,-0.008854,0.00023,-0.004312,0.009962
0.039996,231.796341,-0.815998,8.765804,-0.009179,0.00023,-0.004312,0.009638
0.051106,569.389038,-0.815998,8.757044,-0.009503,0.00023,-0.004312,0.009638
0.064438,262.33548,-0.815998,8.766777,-0.008854,0.000554,-0.004637,0.009313
0.07777,23.21599,-0.815998,8.757369,-0.009503,0.00023,-0.003988,0.009638
0.08888,0.986809,-0.815998,8.75672,-0.009179,0.00023,-0.004312,0.009962
0.102212,-1.739901,-0.815998,8.765804,-0.008854,0.00023,-0.003988,0.009962
